Temperature(°),W12(um),W34(um),W58(um),W6(um),W7(um),Idc(uA),Length(um),Gain(db),Bandwidth(Hz),GBW(MHz),Power(uW),PM(degree),GM(dB),PSRR(dB),SlewRate (V/us),CMRR,Class
-40,17.4,30,18,30,30,130,0.18,53.4742,29082.7,59.3864,2181.65,54.4892,5.88318,49.6072,6.954,61.425,0
-40,17.5,30,18,30,30,130,0.18,53.4779,29096.8,59.4902,2181.78,54.4522,5.87523,49.611,6.9544,61.4285,0
-40,17.5,30,18,30,30,130,0.18,53.4816,29110.7,59.5935,2181.91,54.4154,5.86733,49.6148,6.9548,61.432,0
-40,17.6,30,18,30,30,130,0.18,53.4853,29124.6,59.6963,2182.04,54.3787,5.85946,49.6186,6.9552,61.4355,0
-40,17.6,30,18,30,30,130,0.18,53.489,29138.4,59.7985,2182.16,54.3421,5.85163,49.6224,6.9556,61.439,0
-40,17.7,30,18,30,30,130,0.18,53.4927,29152.2,59.9002,2182.29,54.3056,5.84385,49.6262,6.9561,61.4424,0
-40,17.8,30,18,30,30,130,0.18,53.4963,29165.9,60.0014,2182.41,54.2693,5.8361,49.6299,6.9565,61.4459,0
-40,17.8,30,18,30,30,130,0.18,53.4999,29179.5,60.1022,2182.54,54.2331,5.82839,49.6336,6.9569,61.4493,0
-40,17.9,30,18,30,30,130,0.18,53.5035,29193.1,60.2023,2182.66,54.1971,5.82073,49.6373,6.9573,61.4527,0
-40,17.9,30,18,30,30,130,0.18,53.5071,29206.6,60.3022,2182.79,54.1611,5.8131,49.641,6.9577,61.4561,0
-40,18,30,18,30,30,130,0.18,53.5107,29220,60.4017,2182.91,54.1253,5.8055,49.6446,6.9561,61.4594,0
-40,18,30,18,30,30,130,0.18,53.5142,29233.4,60.5007,2183.03,54.0897,5.79795,49.6482,6.9565,61.4628,0
-40,18.1,30,18,30,30,130,0.18,53.5178,29246.7,60.5993,2183.16,54.0542,5.79043,49.6518,6.9569,61.4661,0
-40,18.1,30,18,30,30,130,0.18,53.5213,29259.9,60.6973,2183.28,54.0188,5.78296,49.6554,6.9572,61.4694,0
-40,18.2,30,18,30,30,130,0.18,53.5248,29273.1,60.7949,2183.4,53.9835,5.77552,49.659,6.9576,61.4727,0
-40,18.3,30,18,30,30,130,0.18,53.5283,29286.2,60.892,2183.52,53.9483,5.76811,49.6626,6.958,61.476,0
-40,18.3,30,18,30,30,130,0.18,53.5317,29299.3,60.9886,2183.64,53.9133,5.76074,49.6661,6.9584,61.4793,0
-40,18.4,30,18,30,30,130,0.18,53.5352,29312.3,61.0847,2183.76,53.8784,5.75341,49.6696,6.9588,61.4825,0
-40,18.4,30,18,30,30,130,0.18,53.5386,29325.2,61.1804,2183.88,53.8437,5.74612,49.6731,6.9592,61.4858,0
-40,18.5,30,18,30,30,130,0.18,53.542,29338.1,61.2755,2184,53.809,5.73886,49.6766,6.9595,61.489,0
-40,18.5,30,18,30,30,130,0.18,53.5454,29351,61.3703,2184.12,53.7745,5.73164,49.68,6.9599,61.4922,0
-40,18.6,30,18,30,30,130,0.18,53.5487,29363.7,61.4645,2184.24,53.7401,5.72444,49.6835,6.9603,61.4954,0
-40,18.6,30,18,30,30,130,0.18,53.5521,29376.4,61.5583,2184.36,53.7058,5.71729,49.6869,6.9607,61.4985,0
-40,18.7,30,18,30,30,130,0.18,53.5554,29389.1,61.6517,2184.47,53.6717,5.71017,49.6903,6.961,61.5017,0
-40,18.8,30,18,30,30,130,0.18,53.5588,29401.7,61.7449,2184.59,53.6376,5.70308,49.6937,6.9614,61.5048,0
